km/l;IAT(°C);RPM;MAP(kPa);km/h;Engine Load(%);Throttle position(%);Class
6,622516556;54;1584;88;23;81;24,31;Load
6,535947712;54;1605;88;23;81;24,31;Load
6,535947712;54;1605;88;23;81;24,31;Load
6,535947712;54;1605;88;23;81;24,31;Load
6,535947712;54;1605;88;23;81;24,31;Load
6,535947712;54;1605;88;23;81;24,31;Load
6,535947712;54;1605;88;23;81;24,31;Load
6,535947712;54;1605;88;23;81;24,31;Load
6,535947712;54;1605;88;23;81;66,67;Load
6,535947712;54;1605;88;23;81;66,67;Load
6,535947712;54;1605;88;23;81;66,67;Load
5,813953488;54;1605;99;23;81;66,67;Load
5,813953488;54;1605;99;23;81;66,67;Load
5,813953488;54;1605;99;23;81;66,67;Load
5,813953488;54;1605;99;23;81;66,67;Load
5,813953488;54;1605;99;23;81;66,67;Load
5,813953488;54;1605;99;23;81;66,67;Load
7,575757576;54;1605;99;30;81;66,67;Load
8,474576271;54;1431;99;30;91;66,67;Load
8,474576271;54;1431;99;30;91;66,67;Load
8,474576271;54;1431;99;30;91;66,67;Load
8,474576271;54;1431;99;30;91;66,67;Load
8,474576271;54;1431;99;30;91;66,67;Load
8,474576271;54;1431;99;30;91;66,67;Load
8,474576271;54;1431;99;30;91;66,67;Load
8,474576271;54;1431;99;30;91;85,88;Load
8,474576271;54;1431;99;30;91;85,88;Load
8,474576271;54;1431;99;30;91;85,88;Load
10,41666667;54;1431;99;37;91;85,88;Load
10,41666667;54;1431;99;37;41;85,88;Load
7,518796992;54;1998;99;37;41;85,88;Load
7,518796992;54;1998;99;37;41;85,88;Load
7,518796992;54;1998;99;37;41;85,88;Load
7,518796992;54;1998;99;37;41;85,88;Load
7,518796992;54;1998;99;37;41;85,88;Load
7,518796992;54;1998;99;37;41;85,88;Load
7,518796992;54;1998;99;37;41;85,88;Load
7,518796992;54;1998;99;37;41;85,88;Load
7,518796992;54;1998;99;37;41;85,88;Load
7,518796992;54;1998;99;37;41;85,88;Load
8,130081301;54;1998;99;40;90;85,88;Load
10,75268817;54;1498;99;40;90;85,88;Load
10,75268817;54;1498;99;40;90;85,88;Load
10,75268817;54;1498;99;40;90;85,88;Load
10,75268817;54;1498;99;40;90;85,88;Load
10,75268817;54;1498;99;40;90;85,88;Load
10,75268817;54;1498;99;40;90;85,88;Load
10,75268817;54;1498;99;40;90;43,92;Load
10,75268817;54;1498;99;40;90;43,92;Load
10,75268817;54;1498;99;40;90;43,92;Load
10,75268817;54;1498;99;40;90;43,92;Load
11,62790698;54;1498;99;43;89;43,92;Load
10,63829787;54;1634;99;43;89;43,92;Load
10,63829787;54;1634;99;43;89;43,92;Load
10,63829787;54;1634;99;43;89;43,92;Load
10,63829787;54;1634;99;43;89;43,92;Load
10,63829787;54;1634;99;43;89;43,92;Load
10,63829787;54;1634;99;43;89;43,92;Load
10,63829787;54;1634;99;43;89;57,65;Load
10,63829787;54;1634;99;43;89;57,65;Load
10,86956522;54;1634;97;43;89;57,65;Load
11,9047619;54;1634;97;47;89;57,65;Load
10,98901099;54;1763;97;47;86;57,65;Load
10,98901099;54;1763;97;47;86;57,65;Load
10,98901099;54;1763;97;47;86;57,65;Load
10,98901099;54;1763;97;47;86;57,65;Load
10,98901099;54;1763;97;47;86;57,65;Load
10,98901099;54;1763;97;47;86;57,65;Load
10,98901099;54;1763;97;47;86;57,65;Load
10,98901099;54;1763;97;47;86;13,73;Load
10,98901099;54;1763;97;47;86;13,73;Load
10,98901099;54;1763;97;47;86;13,73;Load
17,24137931;54;1604;35;24;29;12,94;Load
31,25;54;871;35;24;29;12,94;Load
31,25;54;871;35;24;29;78,43;Load
31,25;54;871;35;24;29;78,43;Load
11,11111111;54;871;99;24;29;78,43;Load
11,11111111;54;871;99;24;29;78,43;Load
5,813953488;54;1256;99;18;91;78,43;Load
5,813953488;54;1256;99;18;91;78,43;Load
5,813953488;54;1256;99;18;91;78,43;Load
5,813953488;54;1256;99;18;91;78,43;Load
5,813953488;54;1256;99;18;91;78,43;Load
5,813953488;54;1256;99;18;91;78,43;Load
5,813953488;54;1256;99;18;91;78,43;Load
5,813953488;54;1256;99;18;91;85,88;Load
5,813953488;54;1256;99;18;91;85,88;Load
5,813953488;54;1256;99;18;91;85,88;Load
12,98701299;54;1256;66;27;91;85,88;Load
12,98701299;54;1256;66;27;51;85,88;Load
11,9047619;54;1370;66;27;51;85,88;Load
11,9047619;54;1370;66;27;51;85,88;Load
11,9047619;54;1370;66;27;51;85,88;Load
11,9047619;54;1370;66;27;51;85,88;Load
11,9047619;54;1370;66;27;51;85,88;Load
11,9047619;54;1370;66;27;51;85,88;Load
11,9047619;54;1370;66;27;51;70,98;Load
11,9047619;54;1370;66;27;51;70,98;Load
8,064516129;54;1370;98;27;51;70,98;Load
9,259259259;54;1370;98;31;51;70,98;Load
8,620689655;54;1470;98;31;90;70,98;Load
8,620689655;54;1470;98;31;90;70,98;Load
8,620689655;54;1470;98;31;90;70,98;Load
8,620689655;54;1470;98;31;90;70,98;Load
8,620689655;54;1470;98;31;90;70,98;Load
8,620689655;54;1470;98;31;90;70,98;Load
8,620689655;54;1470;98;31;90;70,98;Load
8,620689655;54;1470;98;31;90;13,33;Load
8,620689655;54;1470;98;31;90;13,33;Load
9,259259259;54;1470;91;31;90;13,33;Load
10,52631579;54;1470;91;35;90;13,33;Load
11,49425287;54;1345;91;35;70;13,33;Load
11,49425287;54;1345;91;35;70;13,33;Load
11,49425287;54;1345;91;35;70;13,33;Load
11,49425287;54;1345;91;35;70;13,33;Load
11,49425287;54;1345;91;35;70;13,33;Load
11,49425287;54;1345;91;35;70;13,33;Load
11,49425287;54;1345;91;35;70;13,33;Load
11,49425287;54;1345;91;35;70;45,88;Load
11,49425287;54;1345;91;35;70;45,88;Load
10,52631579;54;1345;99;35;70;45,88;Load
12,04819277;54;1345;99;40;70;45,88;Load
10,52631579;54;1538;99;40;85;45,88;Load
10,52631579;54;1538;99;40;85;45,88;Load
10,52631579;54;1538;99;40;85;45,88;Load
10,52631579;54;1538;99;40;85;45,88;Load
10,52631579;54;1538;99;40;85;45,88;Load
10,52631579;54;1538;99;40;85;45,88;Load
10,52631579;54;1538;99;40;85;45,88;Load
10,52631579;54;1538;99;40;85;12,55;Load
10,52631579;54;1538;99;40;85;12,55;Load
35,71428571;54;1538;29;40;85;12,55;Load
33,33333333;54;1538;29;37;85;12,55;Load
38,46153846;54;1319;29;37;20;14,51;Load
38,46153846;54;1319;29;37;20;14,51;Load
31,25;54;1319;36;37;20;14,51;Load
16,12903226;54;1319;36;19;25;14,51;Load
17,54385965;54;1203;36;19;25;14,51;Load
17,54385965;54;1203;36;19;25;14,51;Load
17,54385965;54;1203;36;19;25;14,51;Load
17,54385965;54;1203;36;19;25;14,51;Load
17,54385965;54;1203;36;19;25;14,51;Load
17,54385965;54;1203;36;19;25;14,51;Load
17,54385965;54;1203;36;19;25;21,18;Load
17,54385965;54;1203;36;19;25;21,18;Load
17,54385965;54;1203;36;19;25;21,18;Load
6,711409396;54;1203;94;19;25;21,18;Load
6,024096386;54;1203;94;17;86;21,18;Load
6,711409396;54;1079;94;17;86;21,18;Load
6,711409396;54;1079;94;17;86;21,18;Load
6,711409396;54;1079;94;17;86;21,18;Load
6,711409396;54;1079;94;17;86;21,18;Load
6,711409396;54;1079;94;17;86;21,18;Load
6,711409396;54;1079;94;17;86;21,18;Load
6,711409396;54;1079;94;17;86;85,88;Load
6,711409396;54;1079;94;17;86;85,88;Load
6,711409396;54;1079;94;17;86;85,88;Load
6,369426752;54;1079;99;17;86;85,88;Load
8,26446281;54;1079;99;22;91;85,88;Load
8,26446281;54;1079;99;22;91;85,88;Load
8,26446281;54;1079;99;22;91;85,88;Load
8,26446281;54;1079;99;22;91;85,88;Load
8,26446281;54;1079;99;22;91;85,88;Load
8,26446281;54;1079;99;22;91;85,88;Load
8,26446281;54;1079;99;22;91;85,88;Load
8,26446281;54;1079;99;22;91;85,88;Load
4,681818182;54;1566;99;22;91;85,88;Load
4,681818182;54;1566;99;22;91;85,88;Load
4,681818182;54;1566;99;22;91;85,88;Load
4,681818182;54;1566;99;22;91;85,88;Load
4,681818182;54;1566;99;22;91;85,88;Load
4,681818182;54;1566;99;22;91;85,88;Load
4,681818182;54;1566;99;22;91;45,49;Load
4,681818182;54;1566;99;22;91;45,49;Load
4,681818182;54;1566;99;22;91;45,49;Load
4,681818182;54;1566;99;22;91;45,49;Load
6,711409396;54;1566;99;26;91;45,49;Load
8,064516129;54;1300;99;26;91;45,49;Load
8,064516129;54;1300;99;26;91;45,49;Load
8,064516129;54;1300;99;26;91;45,49;Load
8,064516129;54;1300;99;26;91;45,49;Load
8,064516129;54;1300;99;26;91;45,49;Load
8,064516129;54;1300;99;26;91;45,49;Load
8,064516129;54;1300;99;26;91;45,49;Load
8,064516129;54;1300;99;26;91;45,49;Load
8,064516129;54;1300;99;26;91;85,88;Load
8,064516129;54;1300;99;26;91;85,88;Load
8,064516129;54;1300;99;26;91;85,88;Load
8,064516129;54;1300;99;26;91;85,88;Load
10;54;1300;99;32;91;85,88;Load
8,26446281;54;1566;99;32;92;85,88;Load
8,26446281;54;1566;99;32;92;85,88;Load
8,26446281;54;1566;99;32;92;85,88;Load
8,26446281;54;1566;99;32;92;85,88;Load
8,26446281;54;1566;99;32;92;85,88;Load
8,26446281;54;1566;99;32;92;85,88;Load
8,26446281;54;1566;99;32;92;85,88;Load
8,26446281;54;1566;99;32;92;85,88;Load
8,26446281;54;1566;99;32;92;85,88;Load
8,26446281;54;1566;99;32;92;85,88;Load
8,26446281;54;1566;99;32;92;15,29;Load
8,26446281;54;1566;99;32;92;15,29;Load
13,15789474;54;1566;62;32;92;15,29;Load
14,49275362;54;1566;62;35;92;15,29;Load
16,94915254;54;1345;62;35;92;15,29;Load
16,94915254;54;1345;62;35;92;15,29;Load
16,94915254;54;1345;62;35;92;15,29;Load
16,94915254;54;1345;62;35;92;15,29;Load
16,94915254;54;1345;62;35;92;15,29;Load
16,94915254;54;1345;62;35;92;15,29;Load
16,94915254;54;1345;62;35;92;15,29;Load
16,94915254;54;1345;62;35;92;15,29;Load
16,94915254;54;1345;62;35;92;85,88;Load
16,94915254;54;1345;62;35;92;85,88;Load
10,52631579;54;1345;99;35;92;85,88;Load
11,11111111;54;1345;99;37;92;85,88;Load
10,52631579;54;1415;99;37;92;85,88;Load
10,52631579;54;1415;99;37;92;85,88;Load
10,52631579;54;1415;99;37;92;85,88;Load
10,52631579;54;1415;99;37;92;85,88;Load
10,52631579;54;1415;99;37;92;85,88;Load
10,52631579;54;1415;99;37;92;85,88;Load
10,52631579;54;1415;99;37;92;85,88;Load
10,52631579;54;1415;99;37;92;85,88;Load
10,52631579;54;1415;99;37;92;85,88;Load
10,52631579;54;1415;99;37;92;85,88;Load
11,49425287;54;1415;99;40;93;85,88;Load
10,52631579;54;1535;99;40;93;85,88;Load
10,52631579;54;1535;99;40;93;85,88;Load
10,52631579;54;1535;99;40;93;85,88;Load
10,52631579;54;1535;99;40;93;85,88;Load
10,52631579;54;1535;99;40;93;85,88;Load
10,52631579;54;1535;99;40;93;85,88;Load
10,52631579;54;1535;99;40;93;20,39;Load
10,52631579;54;1535;99;40;93;20,39;Load
10,52631579;54;1535;99;40;93;20,39;Load
11,23595506;54;1535;93;40;93;20,39;Load
12,04819277;54;1535;93;43;65;20,39;Load
11,49425287;54;1615;93;43;65;20,39;Load
11,49425287;54;1615;93;43;65;20,39;Load
11,49425287;54;1615;93;43;65;20,39;Load
11,49425287;54;1615;93;43;65;20,39;Load
11,49425287;54;1615;93;43;65;20,39;Load
11,49425287;54;1615;93;43;65;20,39;Load
11,49425287;54;1615;93;43;65;23,14;Load
11,49425287;54;1615;93;43;65;23,14;Load
11,49425287;54;1615;93;43;65;23,14;Load
12,04819277;54;1615;88;43;65;23,14;Load
12,04819277;54;1615;88;43;76;23,14;Load
12,19512195;54;1608;88;43;76;23,14;Load
12,19512195;54;1608;88;43;76;23,14;Load
12,19512195;54;1608;88;43;76;23,14;Load
12,19512195;54;1608;88;43;76;23,14;Load
12,19512195;54;1608;88;43;76;23,14;Load
12,19512195;54;1608;88;43;76;23,14;Load
12,19512195;54;1608;88;43;76;24,71;Load
12,19512195;54;1608;88;43;76;24,71;Load
12,19512195;54;1608;88;43;76;24,71;Load
11,36363636;54;1608;94;43;76;24,71;Load
11,36363636;54;1608;94;43;82;24,71;Load
11,23595506;54;1636;94;43;82;24,71;Load
11,23595506;54;1636;94;43;82;24,71;Load
11,23595506;54;1636;94;43;82;24,71;Load
11,23595506;54;1636;94;43;82;24,71;Load
11,23595506;54;1636;94;43;82;24,71;Load
11,23595506;54;1636;94;43;82;24,71;Load
11,23595506;54;1636;94;43;82;15,29;Load
11,23595506;54;1636;94;43;82;15,29;Load
11,23595506;54;1636;94;43;82;15,29;Load
11,9047619;54;1636;88;43;82;15,29;Load
11,9047619;54;1636;88;43;78;15,29;Load
11,9047619;54;1645;88;43;78;15,29;Load
11,9047619;54;1645;88;43;78;15,29;Load
11,9047619;54;1645;88;43;78;15,29;Load
11,9047619;54;1645;88;43;78;15,29;Load
11,9047619;54;1645;88;43;78;15,29;Load
11,9047619;54;1645;88;43;78;15,29;Load
11,9047619;54;1645;88;43;78;13,73;Load
11,9047619;54;1645;88;43;78;13,73;Load
11,9047619;54;1645;88;43;78;13,73;Load
29,41176471;54;1645;30;36;78;13,73;Load
47,61904762;54;1016;30;36;21;12,94;Load
47,61904762;54;1016;30;36;21;12,94;Load
23,25581395;54;1016;61;36;21;12,94;Load
8,403361345;54;1016;61;13;67;12,94;Load
11,36363636;54;748;61;13;67;12,94;Load
11,36363636;54;748;61;13;67;12,94;Load
11,36363636;54;748;61;13;67;12,94;Load
11,36363636;54;748;61;13;67;12,94;Load
11,36363636;54;748;61;13;67;12,94;Load
11,36363636;54;748;61;13;67;12,94;Load
11,36363636;54;748;61;13;67;30,2;Load
11,36363636;54;748;61;13;67;30,2;Load
7,042253521;54;748;99;13;67;30,2;Load
9,174311927;54;748;99;17;67;30,2;Load
6,41025641;54;1072;99;17;87;30,2;Load
6,41025641;54;1072;99;17;87;30,2;Load
6,41025641;54;1072;99;17;87;30,2;Load
