km/l;IAT;RPM;MAP;km/h;Load;Acelerador(%);TARGET
2,272727273;54;839;63;3;40;20;driver2
1,766784452;54;1080;63;3;26;20;driver2
1,766784452;54;1080;63;3;26;20;driver2
1,766784452;54;1080;63;3;26;20;driver2
1,766784452;54;1080;63;3;26;20;driver2
1,766784452;54;1080;63;3;26;20;driver2
1,766784452;54;1080;63;3;26;20;driver2
1,766784452;54;1080;63;3;26;20;driver2
1,766784452;54;1080;63;3;26;20;driver2
1,766784452;54;1080;63;3;26;13,73;driver2
1,766784452;54;1080;63;3;26;13,73;driver2
1,158748552;54;1080;96;3;26;13,73;driver2
6,578947368;54;1080;96;17;26;13,73;driver2
3,921568627;54;1806;96;17;83;13,73;driver2
3,921568627;54;1806;96;17;83;13,73;driver2
3,921568627;54;1806;96;17;83;13,73;driver2
3,921568627;54;1806;96;17;83;13,73;driver2
3,921568627;54;1806;96;17;83;13,73;driver2
3,921568627;54;1806;96;17;83;13,73;driver2
3,921568627;54;1806;96;17;83;13,73;driver2
3,921568627;54;1806;96;17;83;13,73;driver2
3,921568627;54;1806;96;17;83;52,94;driver2
3,921568627;54;1806;96;17;83;52,94;driver2
13,88888889;54;1806;27;17;83;52,94;driver2
27,77777778;54;1806;27;34;83;52,94;driver2
22,22222222;54;2265;27;34;96;52,94;driver2
22,22222222;54;2265;27;34;96;52,94;driver2
22,22222222;54;2265;27;34;96;52,94;driver2
22,22222222;54;2265;27;34;96;52,94;driver2
22,22222222;54;2265;27;34;96;52,94;driver2
22,22222222;54;2265;27;34;96;52,94;driver2
22,22222222;54;2265;27;34;96;52,94;driver2
22,22222222;54;2265;27;34;96;52,94;driver2
22,22222222;54;2265;27;34;96;28,63;driver2
22,22222222;54;2265;27;34;96;28,63;driver2
10,20408163;54;2265;59;34;96;28,63;driver2
10,20408163;54;2265;59;34;96;28,63;driver2
13,51351351;54;2265;59;45;65;28,63;driver2
14,08450704;54;2170;59;45;65;28,63;driver2
14,08450704;54;2170;59;45;65;28,63;driver2
14,08450704;54;2170;59;45;65;28,63;driver2
14,08450704;54;2170;59;45;65;28,63;driver2
14,08450704;54;2170;59;45;65;28,63;driver2
14,08450704;54;2170;59;45;65;28,63;driver2
14,08450704;54;2170;59;45;65;28,63;driver2
14,08450704;54;2170;59;45;65;21,96;driver2
14,08450704;54;2170;59;45;65;21,96;driver2
12,98701299;54;2170;64;45;65;21,96;driver2
12,98701299;54;2170;64;45;65;21,96;driver2
14,70588235;54;2170;64;51;65;21,96;driver2
12,82051282;54;2499;64;51;65;21,96;driver2
12,82051282;54;2499;64;51;65;21,96;driver2
12,82051282;54;2499;64;51;65;21,96;driver2
12,82051282;54;2499;64;51;65;21,96;driver2
12,82051282;54;2499;64;51;65;21,96;driver2
12,82051282;54;2499;64;51;65;21,96;driver2
12,82051282;54;2499;64;51;65;21,96;driver2
12,82051282;54;2499;64;51;65;19,61;driver2
12,82051282;54;2499;64;51;65;19,61;driver2
22,22222222;54;2499;37;51;65;19,61;driver2
22,22222222;54;2499;37;51;65;19,61;driver2
25;54;2499;37;58;11;19,61;driver2
25;54;2494;37;58;11;19,61;driver2
25;54;2494;37;58;11;19,61;driver2
25;54;2494;37;58;11;19,61;driver2
25;54;2494;37;58;11;19,61;driver2
25;54;2494;37;58;11;19,61;driver2
25;54;2494;37;58;11;19,61;driver2
25;54;2494;37;58;11;19,61;driver2
25;54;2494;37;58;11;21,18;driver2
25;54;2494;37;58;11;21,18;driver2
33,33333333;54;2494;28;58;11;21,18;driver2
37,03703704;54;2494;28;64;11;21,18;driver2
37,03703704;54;2494;28;64;35;21,18;driver2
38,46153846;54;2385;28;64;35;21,18;driver2
38,46153846;54;2385;28;64;35;21,18;driver2
38,46153846;54;2385;28;64;35;21,18;driver2
38,46153846;54;2385;28;64;35;21,18;driver2
38,46153846;54;2385;28;64;35;21,18;driver2
38,46153846;54;2385;28;64;35;21,18;driver2
38,46153846;54;2385;28;64;35;21,18;driver2
38,46153846;54;2385;28;64;35;13,33;driver2
38,46153846;54;2385;28;64;35;13,33;driver2
55,55555556;54;2385;19;64;35;13,33;driver2
55,55555556;54;2385;19;64;35;13,33;driver2
58,82352941;54;2356;19;64;0;13,33;driver2
58,82352941;54;2356;19;64;0;13,33;driver2
58,82352941;54;2356;19;64;0;13,33;driver2
58,82352941;54;2356;19;64;0;13,33;driver2
58,82352941;54;2356;19;64;0;13,33;driver2
58,82352941;54;2356;19;64;0;13,33;driver2
58,82352941;54;2356;19;64;0;13,33;driver2
58,82352941;54;2356;19;64;0;13,33;driver2
58,82352941;54;2356;19;64;0;14,12;driver2
58,82352941;54;2356;19;64;0;14,12;driver2
58,82352941;54;2356;19;64;0;14,12;driver2
55,55555556;54;2356;19;62;0;14,12;driver2
58,82352941;54;2252;19;62;0;14,12;driver2
58,82352941;54;2252;19;62;0;14,12;driver2
58,82352941;54;2252;19;62;0;14,12;driver2
58,82352941;54;2252;19;62;0;14,12;driver2
58,82352941;54;2252;19;62;0;14,12;driver2
58,82352941;54;2252;19;62;0;14,12;driver2
58,82352941;54;2252;19;62;0;14,12;driver2
58,82352941;54;2252;19;62;0;14,12;driver2
58,82352941;54;2252;19;62;0;12,94;driver2
58,82352941;54;2252;19;62;0;12,94;driver2
47,61904762;54;2252;23;62;0;12,94;driver2
47,61904762;54;2252;23;62;0;12,94;driver2
37,03703704;54;2252;23;48;0;12,94;driver2
83,33333333;54;1010;23;48;29;12,94;driver2
83,33333333;54;1010;23;48;29;12,94;driver2
83,33333333;54;1010;23;48;29;12,94;driver2
83,33333333;54;1010;23;48;29;12,94;driver2
83,33333333;54;1010;23;48;29;12,94;driver2
83,33333333;54;1010;23;48;29;12,94;driver2
83,33333333;54;1010;23;48;29;12,94;driver2
83,33333333;54;1010;23;48;29;14,51;driver2
83,33333333;54;1010;23;48;29;14,51;driver2
83,33333333;54;1010;23;48;29;14,51;driver2
38,46153846;54;1010;50;48;29;14,51;driver2
27,02702703;54;1010;50;34;43;14,51;driver2
31,25;54;868;50;34;43;14,51;driver2
31,25;54;868;50;34;43;14,51;driver2
31,25;54;868;50;34;43;14,51;driver2
31,25;54;868;50;34;43;14,51;driver2
31,25;54;868;50;34;43;14,51;driver2
31,25;54;868;50;34;43;14,51;driver2
31,25;54;868;50;34;43;14,51;driver2
31,25;54;868;50;34;43;14,9;driver2
31,25;54;868;50;34;43;14,9;driver2
29,41176471;54;868;53;34;43;14,9;driver2
29,41176471;54;868;53;34;43;14,9;driver2
22,72727273;54;868;53;26;38;14,9;driver2
22,22222222;54;878;53;26;38;14,9;driver2
22,22222222;54;878;53;26;38;14,9;driver2
22,22222222;54;878;53;26;38;14,9;driver2
22,22222222;54;878;53;26;38;14,9;driver2
22,22222222;54;878;53;26;38;14,9;driver2
22,22222222;54;878;53;26;38;14,9;driver2
