km/l;IAT;RPM;MAP;km/h;Carga do Motor;Acelerador(%);class
4,95049505;59;1591;98;19;82;37,25;driver5
3,95256917;59;1996;98;19;100;37,25;driver5
3,95256917;59;1996;98;19;100;37,25;driver5
3,95256917;59;1996;98;19;100;37,25;driver5
3,95256917;59;1996;98;19;100;37,25;driver5
3,95256917;59;1996;98;19;100;37,25;driver5
3,95256917;59;1996;98;19;100;37,25;driver5
3,95256917;59;1996;98;19;100;37,25;driver5
3,95256917;59;1996;98;19;100;13,73;driver5
3,95256917;59;1996;98;19;100;13,73;driver5
3,95256917;59;1996;98;19;100;13,73;driver5
4,032258065;59;1996;96;19;100;13,73;driver5
6,369426752;59;1996;96;30;100;13,73;driver5
6,134969325;59;2069;96;30;100;13,73;driver5
6,134969325;59;2069;96;30;100;13,73;driver5
6,134969325;59;2069;96;30;100;13,73;driver5
6,134969325;59;2069;96;30;100;13,73;driver5
6,134969325;59;2069;96;30;100;13,73;driver5
6,134969325;59;2069;96;30;100;13,73;driver5
6,134969325;59;2069;96;30;100;13,73;driver5
6,134969325;59;2069;96;30;100;13,73;driver5
6,134969325;59;2069;96;30;100;85,1;driver5
6,134969325;59;2069;96;30;100;85,1;driver5
5,952380952;59;2069;99;30;100;85,1;driver5
9,090909091;59;2069;99;46;100;85,1;driver5
6,134969325;59;3084;99;46;98;85,1;driver5
6,134969325;59;3084;99;46;98;85,1;driver5
6,134969325;59;3084;99;46;98;85,1;driver5
6,134969325;59;3084;99;46;98;85,1;driver5
6,134969325;59;3084;99;46;98;85,1;driver5
6,134969325;59;3084;99;46;98;85,1;driver5
6,134969325;59;3084;99;46;98;85,1;driver5
6,134969325;59;3084;99;46;98;85,1;driver5
6,134969325;59;3084;99;46;98;47,06;driver5
6,134969325;59;3084;99;46;98;47,06;driver5
7,692307692;59;3084;79;46;98;47,06;driver5
8,196721311;59;3084;79;49;98;47,06;driver5
10,63829787;59;2376;79;49;19;47,06;driver5
10,63829787;59;2376;79;49;19;47,06;driver5
10,63829787;59;2376;79;49;19;47,06;driver5
10,63829787;59;2376;79;49;19;47,06;driver5
10,63829787;59;2376;79;49;19;47,06;driver5
10,63829787;59;2376;79;49;19;47,06;driver5
10,63829787;59;2376;79;49;19;47,06;driver5
10,63829787;59;2376;79;49;19;47,06;driver5
10,63829787;59;2376;79;49;19;14,51;driver5
10,63829787;59;2376;79;49;19;14,51;driver5
17,54385965;59;2376;48;49;19;14,51;driver5
17,54385965;59;2376;48;49;19;14,51;driver5
15,38461538;59;2376;48;43;80;14,51;driver5
17,54385965;59;2084;48;43;80;14,51;driver5
17,54385965;59;2084;48;43;80;14,51;driver5
17,54385965;59;2084;48;43;80;14,51;driver5
17,54385965;59;2084;48;43;80;14,51;driver5
17,54385965;59;2084;48;43;80;14,51;driver5
17,54385965;59;2084;48;43;80;14,51;driver5
17,54385965;59;2084;48;43;80;14,51;driver5
17,54385965;59;2084;48;43;80;32,94;driver5
17,54385965;59;2084;48;43;80;32,94;driver5
17,54385965;59;2084;48;43;80;32,94;driver5
16,12903226;59;2084;52;43;80;32,94;driver5
18,51851852;59;2084;52;49;80;32,94;driver5
16,39344262;59;2320;52;49;10;32,94;driver5
16,39344262;59;2320;52;49;10;32,94;driver5
16,39344262;59;2320;52;49;10;32,94;driver5
16,39344262;59;2320;52;49;10;32,94;driver5
16,39344262;59;2320;52;49;10;32,94;driver5
